Date,Revenue,order_count,quantity_sold,discount_rate,sessions,active_promo_count,has_active_promo,year,month,quarter,day_of_week,is_weekend,day_of_month,is_month_start_3d,days_to_month_end,is_month_end_4d,revenue_lag_1,revenue_lag_7,revenue_lag_14,revenue_lag_28,revenue_lag_365,revenue_roll_mean_7,revenue_roll_mean_28,revenue_roll_mean_90,revenue_roll_std_7,revenue_roll_std_28,revenue_roll_max_28,revenue_roll_min_28,sessions_lag_1,sessions_roll_mean_7,order_count_lag_1,order_count_roll_mean_7,quantity_sold_lag_1,quantity_sold_roll_mean_7,discount_rate_lag_7,log_revenue
2013-07-04,2521315.44,93,483,0.17999998841874384,20224,1,1,2013,7,3,3,0,4,0,27,0,8038680.63,7748199.74,7078652.68,5692902.11,5123547.94,7508508.687142857,6186161.266785714,6533078.600111111,1111577.1405380422,1470545.9299114256,9546012.78,3646959.35,20624.0,24241.428571428572,369.0,374.85714285714283,1866.0,1881.142857142857,0.18000000345886796,14.740291719911284
2013-07-05,2494107.65,108,553,0.17999999318393495,22308,1,1,2013,7,3,4,0,5,0,26,0,2521315.44,6285354.21,5526354.45,3843507.28,2751773.45,6761810.93,6072890.314285713,6526940.811444445,2172761.8498151423,1624080.2030316647,9546012.78,2521315.44,20224.0,23338.428571428572,93.0,334.7142857142857,483.0,1687.5714285714287,0.17999998603101797,14.729441968828143
2013-07-06,2452372.43,94,499,0.1799999929048297,19852,1,1,2013,7,3,5,1,6,0,25,0,2494107.65,9546012.78,5117274.96,3646959.35,3054029.42,6220204.278571428,6024697.470357142,6513950.934666667,2715949.197550788,1710411.3745768252,9546012.78,2494107.65,22308.0,23112.285714285714,108.0,303.2857142857143,553.0,1536.7142857142858,0.18000001043367553,14.712566860527197
2013-07-07,2958215.01,116,568,0.18000000277194184,19573,1,1,2013,7,3,6,1,7,0,24,0,2452372.43,7372318.59,5844565.63,3880132.51,2667930.94,5206827.085714286,5982033.651785715,6508702.469888888,2588606.4966816315,1785181.730379173,9546012.78,2452372.43,19852.0,21813.0,94.0,246.14285714285714,499.0,1246.7142857142858,0.1799999991590163,14.900096945279671
2013-07-08,2571901.18,115,603,0.18000000295501245,18865,1,1,2013,7,3,0,0,8,0,23,0,2958215.01,6359864.53,5243774.5,4476887.83,2360851.9,4576240.86,5949108.026785715,6489672.922444444,2509605.9273474417,1833239.6838872475,9546012.78,2452372.43,19573.0,20779.428571428572,116.0,207.0,568.0,1044.2857142857142,0.1800000085850885,14.760156330956978
2013-07-09,4624825.33,204,1015,0.18000000877870992,22779,1,1,2013,7,3,1,0,9,0,22,0,2571901.18,7209130.33,6728887.1,5003847.86,3548386.46,4035103.238571428,5881072.789285714,6470546.744666668,2468973.678232351,1923049.4350516708,9546012.78,2452372.43,18865.0,20514.85714285714,115.0,176.85714285714286,603.0,889.5714285714286,0.17999999869609792,15.346949377953363
2013-07-10,3855254.64,199,963,0.17999998308801723,22911,1,1,2013,7,3,2,0,10,0,21,0,4624825.33,8038680.63,8817278.13,7209020.15,5234938.62,3665916.81,5867536.270357142,6455135.528555555,2077427.0936879343,1930771.4823198472,9546012.78,2452372.43,22779.0,20603.571428571428,204.0,157.0,1015.0,798.1428571428571,0.17999999957704502,15.16494787665898
2013-07-11,5785320.61,285,1402,0.18000000176308292,22159,1,1,2013,7,3,3,0,11,0,20,0,3855254.64,2521315.44,7748199.74,6845836.24,5582884.78,3068284.5257142857,5747758.930714286,6450807.738333332,847432.8818414244,1948415.436035766,9546012.78,2452372.43,22911.0,20930.285714285714,199.0,132.71428571428572,963.0,669.1428571428571,0.17999998841874384,15.570834510841646
2013-07-12,6053300.71,272,1379,0.18000000366742064,21395,1,1,2013,7,3,4,0,12,0,19,0,5785320.61,2494107.65,6285354.21,4871516.57,5734632.02,3534570.978571429,5709883.3725000005,6467509.502777778,1282575.7576788738,1936550.7967673538,9546012.78,2452372.43,22159.0,21206.714285714286,285.0,160.14285714285714,1402.0,800.4285714285714,0.17999999318393495,15.616114418336723
2013-07-13,4161301.31,190,976,0.1799999962031108,20990,1,1,2013,7,3,5,1,13,0,18,0,6053300.71,2452372.43,9546012.78,5166292.57,5309511.71,4043027.1300000004,5752089.948928571,6476830.713444445,1490064.0568733194,1930470.8713445277,9546012.78,2452372.43,21395.0,21076.285714285714,272.0,183.57142857142858,1379.0,918.4285714285714,0.1799999929048297,15.241338638534325
