feature,reg_perm_mean,reg_perm_std
user_previous_total_revenue,0.05575277967611105,0.006318722912534068
user_previous_purchase_count,0.016624030009572223,0.0010887172699207781
device_category_model,0.012148663336607801,0.002607613306669966
totals_hits,0.009049309320686727,0.0022299379420180733
session_hour,0.005038525244840719,0.0010565527389651377
user_days_since_previous_session,0.004207204267870623,0.0008720410243359277
session_day_of_week,0.003878816113395955,0.001117306545068717
user_days_since_previous_purchase,0.003384570147986277,0.0019079726131359057
visit_number,0.0028074687266632426,0.0016039035241566559
user_days_since_first_session,0.002767946225424045,0.002578581129570927
user_previous_sessions,0.002755911409985945,0.0009793289430831578
user_previous_avg_pageviews,0.0025337456375913447,0.0011413991478325077
has_referral_path,0.0018133301233613786,0.00047456029529344937
totals_time_on_site,0.0008937863116192269,0.0009707816244575672
channelGrouping_model,0.0003528413985319112,0.0033324383891190847
geo_country_model,0.00011595553743852794,0.0006652313819346059
has_traffic_campaign,8.586873119178495e-05,7.807458594152262e-05
session_month,0.0,0.0
is_bounce,0.0,0.0
is_first_session,0.0,0.0
has_previous_purchase,0.0,0.0
has_gclid,0.0,0.0
totals_pageviews,-5.1374833287187725e-05,0.0005297000220536026
traffic_channel_type_model,-0.00019272820401887713,0.00028139760793700116
totals_new_visits,-0.00024762944504983506,0.0002508127806638671
user_previous_bounce_rate,-0.0006123161136407873,0.0012898649008683495
user_previous_avg_time_on_site,-0.000806012732695871,0.001628859214346737
