,IV
47,0.6043661278827215
68,0.4404819999154261
59,0.4255771352317973
1,0.31810865731904203
5,0.26291039367607083
42,0.2214957919958126
43,0.20347102487076923
37,0.16839257845391276
18,0.16540964987846118
44,0.16520819157852967
65,0.14195304690589935
34,0.14104043498536264
30,0.14006686763729698
31,0.13847096382888052
25,0.1341889091256395
16,0.13037115318151563
39,0.11966397294694851
32,0.11005334074575274
61,0.10773340140702832
80,0.1067125980591413
10,0.10442309329700697
19,0.09767039437882617
29,0.09659718581663342
28,0.09615830173477875
23,0.09558990088639191
12,0.09282016800921228
82,0.08668693247710772
40,0.08337953095624716
35,0.07572918529491042
36,0.07198603983109322
24,0.0674667107182065
22,0.06395920952021145
9,0.06313786556324397
21,0.06085514280017829
7,0.060409538093594894
54,0.0583365178693126
64,0.05825858034990316
17,0.055299106777413426
13,0.052911945354020974
85,0.05166889753980725
26,0.049623164455631114
75,0.048479132306589026
76,0.039927837108279116
15,0.03835494305060927
8,0.03655678936861157
49,0.03441836373801213
3,0.031997777318843165
55,0.029985310365010693
6,0.027430044134437656
57,0.023989437811620044
11,0.02330982309119865
83,0.023187240032876776
58,0.020221760848685193
14,0.02007806079984248
2,0.019124415499801747
38,0.01853159144538798
63,0.01806084038514447
20,0.015873844695704183
79,0.015667481003824122
41,0.015034826114514632
78,0.014671591885995969
51,0.013207217075382275
52,0.013021235736970595
60,0.012994130854938087
62,0.012694227411912708
4,0.01103829564104673
27,0.01070664914768104
45,0.010404426970116587
67,0.00883066389937453
84,0.008654392575952758
81,0.008627342292104599
46,0.007881750508245435
33,0.007647567036290988
72,0.0072073067578623815
70,0.006134799211453968
56,0.004913955587371042
50,0.0038221118805040694
74,0.00345608007854677
71,0.0030662339112760904
73,0.002979880983014161
69,0.0028766310668920246
66,0.00213063185346561
53,0.0010228713433140875
48,0.0009394402587370913
77,0.0003317697632178589
